domain,researcher,unique_id,block_order,mean_rt,perc_acc,D_tt1,D_tt2,D_tt3,D_tt4,D_odd,D_even,gender,age
Race,Chad,chad race_320,1,1453,0.86,0.28,0.37,0.29,0.71,0.19,0.71,Male,20
Race,Chad,chad race_323,2,1523,0.81,0.62,0.41,0.03,-0.33,-0.06,0.36,Male,19
Race,Chad,chad race_326,1,1388,0.82,0.18,0.15,-0.59,0.43,0.11,-0.02,Male,19
Body image,Chad,chad bodyimage_9,2,1463,0.88,0.1,0.54,0.18,-0.49,0.02,0.18,Female,18
Body image,Chad,chad bodyimage_101,1,1247,0.97,0.07,-0.29,-0.16,-0.31,-0.34,-0.04,Female,22
Body image,Chad,chad bodyimage_109,1,1588,0.84,0.4,0.15,-0.81,0.16,0.03,0.05,Female,18
Body image,Chad,chad bodyimage_114,1,1575,0.81,-0.2,-0.15,-0.34,0.72,-0.09,0.06,Female,16
Body image,Chad,chad bodyimage_117,1,1477,0.85,0.44,0.21,0.68,0.76,0.57,0.43,Female,18
Body image,Chad,chad bodyimage_121,2,1329,0.94,0.63,0.13,0.19,0.35,0.11,0.46,Female,20
Body image,Chad,chad bodyimage_124,2,1372,0.95,0.23,-0.08,-0.1,0.54,-0.08,0.41,Female,19
Body image,Chad,chad bodyimage_125,1,1528,0.91,-0.05,0.53,0.46,0.25,0.3,0.37,Female,17
Body image,Chad,chad bodyimage_126,1,1787,0.72,-0.26,0.55,0.24,0.63,0.2,0.36,Female,20
Body image,Chad,chad bodyimage_13,2,1564,0.9,0.5,0.52,-0.09,-0.46,0.03,0.2,Female,19
